user_id,amount,date,merchant,ip,label
user1,15.5,06/10/2025 09:00,ShopA,192.168.1.10,0
user1,18.75,07/10/2025 10:15,StoreB,192.168.2.15,0
user1,20.3,08/10/2025 11:30,MarketC,192.168.3.20,0
user1,16.9,09/10/2025 13:45,ShopD,192.168.4.25,0
user1,19.25,10/10/2025 14:00,StoreE,192.168.5.30,0
user1,17.8,11/10/2025 15:15,MarketF,192.168.6.35,0
user1,21.1,12/10/2025 16:30,ShopG,192.168.7.40,0
user1,14.6,12/10/2025 17:45,StoreH,192.168.8.45,0
user1,18.95,12/10/2025 18:00,MarketI,192.168.9.50,0
user1,16.4,12/10/2025 19:15,ShopJ,192.168.10.55,0
user2,22.75,06/10/2025 09:30,ShopB,192.168.11.60,0
user2,19.8,07/10/2025 10:45,StoreC,192.168.12.65,0
user2,15.9,08/10/2025 11:00,MarketD,192.168.13.70,0
user2,23.1,09/10/2025 13:00,ShopE,192.168.14.75,0
user2,17.65,10/10/2025 14:15,StoreF,192.168.15.80,0
user2,20.3,11/10/2025 15:30,MarketG,192.168.16.85,0
user2,18.5,12/10/2025 16:45,ShopH,192.168.17.90,0
user2,21.75,12/10/2025 17:00,StoreI,192.168.18.95,0
user2,16.2,12/10/2025 18:15,MarketJ,192.168.19.100,0
user2,19.85,12/10/2025 19:30,ShopA,192.168.20.105,0
user3,14.3,06/10/2025 10:00,StoreA,192.168.21.110,0
user3,17.95,07/10/2025 11:15,MarketB,192.168.22.115,0
user3,20.6,08/10/2025 12:30,ShopC,192.168.23.120,0
user3,15.75,09/10/2025 13:45,StoreD,192.168.24.125,0
user3,18.4,10/10/2025 14:00,MarketE,192.168.25.130,0
user3,16.85,11/10/2025 15:15,ShopF,192.168.26.135,0
user3,21.2,12/10/2025 16:30,StoreG,192.168.27.140,0
user3,19.1,12/10/2025 17:45,MarketH,192.168.28.145,0
user3,15.5,12/10/2025 18:00,ShopI,192.168.29.150,0
user3,17.3,12/10/2025 19:15,StoreJ,192.168.30.155,0
user4,23.4,06/10/2025 10:30,MarketA,192.168.31.160,0
user4,16.75,07/10/2025 11:45,ShopB,192.168.32.165,0
user4,19.9,08/10/2025 12:00,StoreC,192.168.33.170,0
user4,20.15,09/10/2025 13:15,MarketD,192.168.34.175,0
user4,18.6,10/10/2025 14:30,ShopE,192.168.35.180,0
user4,15.25,11/10/2025 15:45,StoreF,192.168.36.185,0
user4,21.8,12/10/2025 16:00,MarketG,192.168.37.190,0
user4,17.95,12/10/2025 17:15,ShopH,192.168.38.195,0
user4,19.3,12/10/2025 18:30,StoreI,192.168.39.200,0
user4,16.1,12/10/2025 19:45,MarketJ,192.168.40.205,0
user5,18.2,06/10/2025 11:00,ShopA,192.168.41.210,0
user5,20.75,07/10/2025 12:15,StoreB,192.168.42.215,1
user5,15.9,08/10/2025 13:30,MarketC,192.168.43.220,0
user5,17.4,09/10/2025 14:45,ShopD,192.168.44.225,0
user5,21.6,10/10/2025 15:00,StoreE,192.168.45.230,0
user5,16.85,11/10/2025 16:15,MarketF,192.168.46.235,1
user5,19.95,12/10/2025 17:30,ShopG,192.168.47.240,0
user5,18.1,12/10/2025 18:45,StoreH,192.168.48.245,0
user5,15.7,12/10/2025 19:00,MarketI,192.168.49.250,0
user5,20.3,12/10/2025 20:15,ShopJ,192.168.50.255,0
